code,value
IS001,-14.1
IS002,-5.2
IT,-0.4
ITC,2.3
ITC1,0.1
ITC11,0.1
ITC12,-1.1
ITC13,-3.1
ITC14,-1.8
ITC15,2.7
ITC16,1.5
ITC17,-3.4
ITC18,-0.3
ITC2,-2.1
ITC20,-2.1
ITC3,1.0
ITC31,0.0
ITC32,1.0
ITC33,1.3
ITC34,1.0
ITC4,3.6
ITC41,0.6
ITC42,1.4
ITC43,1.5
ITC44,0.4
ITC46,3.7
ITC47,2.9
ITC48,4.1
ITC49,5.8
ITC4A,2.2
ITC4B,2.2
ITC4C,5.4
ITC4D,3.6
ITF,-3.7
ITF1,-2.4
ITF11,-3.4
ITF12,0.7
ITF13,-2.8
ITF14,-3.8
ITF2,-4.9
ITF21,-8.5
ITF22,-3.5
ITF3,-2.8
ITF31,0.5
ITF32,-6.5
ITF33,-3.1
ITF34,-4.9
ITF35,-2.9
ITF4,-4.4
ITF43,-5.7
ITF44,-6.0
ITF45,-5.2
ITF46,-4.4
ITF47,-2.8
ITF48,-4.2
ITF5,-8.1
ITF51,-9.3
ITF52,-5.9
ITF6,-4.4
ITF61,-3.1
ITF62,-5.2
ITF63,-4.0
ITF64,-1.5
ITF65,-6.9
ITG,-3.8
ITG1,-3.5
ITG11,-5.0
ITG12,-3.3
ITG13,-3.5
ITG14,-6.5
ITG15,-9.3
ITG16,-9.0
ITG17,-2.4
ITG18,4.5
ITG19,-2.6
ITG2,-4.9
ITG2D,-2.6
ITG2E,-7.2
ITG2F,-3.3
ITG2G,-8.2
ITG2H,-7.1
ITH,2.0
ITH1,6.3
ITH10,6.3
ITH2,4.0
ITH20,4.0
ITH3,0.5
ITH31,1.4
ITH32,1.0
ITH33,-1.6
ITH34,0.6
ITH35,-0.6
ITH36,1.4
ITH37,-2.2
ITH4,0.3
ITH41,2.0
ITH42,-0.5
ITH43,2.0
ITH44,-1.4
ITH5,3.2
ITH51,4.1
ITH52,5.4
ITH53,3.6
ITH54,3.0
ITH55,3.4
ITH56,1.1
ITH57,2.3
ITH58,3.0
ITH59,2.7
ITI,-1.0
ITI1,-0.4
ITI11,-3.2
ITI12,-0.9
ITI13,0.4
ITI14,0.6
ITI15,2.6
ITI16,-0.9
ITI17,1.2
ITI18,-2.1
ITI19,-2.2
ITI1A,-3.8
ITI2,-3.9
ITI21,-3.1
ITI22,-6.2
ITI3,-1.0
ITI31,1.0
ITI32,-0.1
